Index,vccs_course,vt_course,uva_course,gmu_course
193,MTH 265,MATH 2204 + Elective,MATH 2310 ,MATH 213
194,MTH 266,MATH 2114,MATH 3351 ,MATH 203
195,MTH 267,MATH 2214,MATH 3250 ,MATH 214
196,MTH 270,No Equivalency,No Equivalency,MATH 108
197,MTH 271,No Equivalency,No Equivalency,MATH 108
198,MTH 272,No Equivalency,No Equivalency,MATH 108
199,MTH 273,No Equivalency,No Equivalency,MATH 113
200,MTH 274,No Equivalency,No Equivalency,MATH 114
201,MTH 275,No Equivalency,No Equivalency,MATH 213
202,MTH 276,No Equivalency,No Equivalency,MATH 203 & MATH 214 & MATH Elective
203,MTH 277,No Equivalency,No Equivalency,MATH 213
204,MTH 279,No Equivalency,No Equivalency,MATH 214
205,MTH 280,MATH Elective,No Equivalency,MATH Elective
206,MTH 281,MATH Elective,MATH 1005T ,MATH Elective
207,MTH 283,STAT 3104,No Equivalency,STAT L344
208,MTH 285,No Equivalency,No Equivalency,MATH 203
209,MTH 286,No Equivalency,No Equivalency,MATH 125
210,MTH 288,MATH 2534,CS 2120 ,MATH 125
211,MTH 289,MATH Elective,No Equivalency,MATH Elective
212,MTH 290,No Equivalency,No Equivalency,GENL Elective
213,MTH 291,No Equivalency,No Equivalency,MATH 214
214,MTH 293,MATH Elective,No Equivalency,No Equivalency
215,MTH 295,MATH Elective,No Equivalency,MATH Elective
216,MTH 296,No Equivalency,No Equivalency,No Equivalency
217,MTH 297,No Equivalency,No Equivalency,No Equivalency
218,MTH 298,No Equivalency,No Equivalency,No Equivalency
219,MTH 299,No Equivalency,No Equivalency,No Equivalency
220,PHY 100,PHYS Elective4,PHYS 1005T ,PHYS 103
221,PHY 101,No Equivalency,PHYS 1010 ,PHYS 244 & PHYS 243
222,PHY 102,No Equivalency,PHYS 1020 ,PHYS 246 & PHYS 245
223,PHY 111,No Equivalency,No Equivalency,No Equivalency
224,PHY 121,No Equivalency,PHYS 1010 ,PHYS 244 & PHYS 243
225,PHY 122,No Equivalency,PHYS 1020 ,PHYS 246 & PHYS 245
226,PHY 130,No Equivalency,No Equivalency,PHYS Elective
227,PHY 131,PHYS 2205,No Equivalency,PHYS Elective
228,PHY 141,PHYS 1055 + 1155,No Equivalency,ASTR 112 & ASTR 111
229,PHY 142,PHYS 1056 + 1156,No Equivalency,ASTR 114 & ASTR 113
230,PHY 150,PHYS 1055 + 1155,ASTR 1005T ,ASTR 114 & ASTR 103
231,PHY 190,No Equivalency,No Equivalency,GENL Elective
232,PHY 195,No Equivalency,No Equivalency,PHYS Elective
233,PHY 201,PHYS 2205 + 2215,PHYS 2010  OR PHYS 2030 ,PHYS 244 & PHYS 243
234,PHY 202,PHYS 2206 + 2216,PHYS 2040  OR PHYS 2020 ,PHYS 246 & PHYS 245
235,PHY 211,No Equivalency,PHYS 2010  OR PHYS 2030 ,No Equivalency
236,PHY 212,No Equivalency,PHYS 2040  OR PHYS 2020 ,No Equivalency
237,PHY 231,No Equivalency,PHYS 1000T  OR PHYS 1425 ,PHYS 160 & PHYS 161 & PHYS 266
238,PHY 232,No Equivalency,PHYS 2000T  OR PHYS 2415 ,PHYS 260 & PHYS 261 & PHYS Elective
239,PHY 241,PHYS 2305,PHYS 1000T  OR PHYS 1425 ,PHYS 161 & PHYS 160
240,PHY 242,PHYS 2306,PHYS 2000T  OR PHYS 2415 ,PHYS 261 & PHYS 260
241,PHY 243,PHYS 3324,PHYS 2620 ,PHYS 262
242,PHY 244,PHYS 3324,No Equivalency,PHYS 263
243,PHY 290,No Equivalency,No Equivalency,GENL Elective
244,PHY 295,No Equivalency,No Equivalency,PHYS Elective
245,PHY 298,NANO Elective,No Equivalency,No Equivalency
